0.01	4.579	4.679	4.879	4.979	4.683	5.275	5.478	5.474	4.685	5.198	
0.02	4.845	4.729	4.748	4.66	4.393	4.652	4.778	5.293	5.209	5.102	
0.03	4.693	4.371	4.893	4.351	4.992	5.2	4.935	5.583	5.456	4.983	
0.04	4.866	5.008	5.128	4.552	5.428	5.537	5.045	5.434	5.302	5.241	
0.05	4.855	5.293	5.103	4.583	4.93	5.612	5.247	5.502	5.225	5.144	
0.06	5.094	4.97	4.805	4.299	4.921	5.521	5.598	5.133	5.154	5.237	
0.07	4.867	4.784	5.229	5.161	5.033	5.367	5.534	5.269	5.027	5.493	
0.08	4.3	4.974	4.849	5.26	4.962	5.244	5.347	5.689	4.936	5.515	
0.09	5.342	5.041	5.21	5.504	5.371	5.408	5.442	5.017	5.211	5.3	
0.1	5.396	5.208	5.031	5.223	5.769	5.71	4.886	4.822	5.611	5.243	
0.11	5.439	5.061	4.896	4.931	5.087	5.378	5.071	4.992	5.077	5.276	
0.12	4.897	4.979	4.416	5.364	4.714	5.242	4.955	5.1	4.808	5.071	
0.13	5.103	5.264	4.842	5.623	4.988	5.501	5.439	5.801	5.17	5.279	
0.14	5.255	4.978	5.071	5.017	4.832	5.295	5.224	4.812	4.881	5.004	
0.15	5.226	5.568	5.313	5.369	5.276	5.309	5.175	5.267	5.089	5.047	
0.16	5.451	4.986	4.861	5.058	4.803	5.116	5.168	5.124	5.249	5.085	
0.17	5.125	5.147	4.736	4.976	5.103	4.961	5.728	5.096	5.359	4.937	
0.18	4.98	4.399	5.156	4.876	5.132	4.393	5.294	5.454	4.964	4.965	
0.19	5.68	4.587	4.831	4.88	5.57	5.09	5.383	5.364	4.745	5.645	
0.2	5.576	5.337	5.211	5.151	4.958	5.082	5.216	5.329	5.458	5.156	
